,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReportWeekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Name,,Squad Number,Player Full Name,,mins played,Team Name,Match Name,Position Tag,As At Date,Round Name,Match Date,Yellow Card,Red Card,Goal,Assist,Dribble,Offside,Own Goal,Goal Against,Stand. Tackle,Unsucc Stand. Tackle,Tackle,Unsucc Tackle,Def Aerial,Unsucc Def Aerial,Clear,Headed Clear,Own Box Clear,Progr Rec,Unprogr Rec,Progr Inter,Unprogr Inter,Progr Regain ,Blocked Shot,Blocked Cross,Stand. Tackle Success ,Tackle Success ,Def Aerial Success ,Att 1v1,Att Aerial,Efforts on Goal,Header on Target,Header off Target,Shot on Target,Shot off Target,Att Shot Blockd,Cross,Unsucc Cross,Efficiency ,Side Back,Unsucc Side Back,Long,Unsucc Long,Forward,Unsucc Forward,Line Break,Pass into Oppo Box,Loss of Poss,Success,Unsuccess,Pass Completion ,Progr Pass Attempt ,Progr Pass Completion ,Foul Won,Foul Conceded,FK,Unsucc FK,Corner Kick,Short Corner,Unsucc Corner Kick,PK Won,PK Conceded,PK Scored,PK Missed,Throw,Unsucc Throw,Hands GK,Unsucc Hands,Ground GK,Unsucc Ground,Save Held,Save Parried,Save % ,Successful Cross,Opposition,Starts,
1st Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Brendan Furlonge,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,RCB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,,,,1,0,0,0,0,0,0,0,0,1,,7,0,0,0,6,2,1,1,4,13,2,86.67,53.33,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,
,,0,Jake Ciavarro,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,CB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,10,0,1,0,100,0,0,,100,50,0,0,0,0,0,0,0,0,0,0,,9,0,1,1,16,2,0,0,0,26,3,89.66,68.97,85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,
,,0,Jonah Greenblatt,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,LWB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,9,2,0,0,4,2,0,0,2,13,4,76.47,35.29,66.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,
,,0,Kaio Morias,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,RWB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,66.67,0,0,,,100,1,0,1,0,0,1,0,0,0,0,100,13,1,0,0,3,1,0,1,3,16,2,88.89,22.22,75,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,
,,0,Killian Walsh,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,ATT,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0,100,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,
,,0,Sam Cunniffe,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,LCB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,4,0,0,0,2,0,0,0,0,0,1,0,0,4,1,0,0,80,0,0,100,,,2,0,0,0,0,0,0,0,0,3,,10,0,2,1,15,7,2,3,2,27,8,77.14,71.43,68,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,
,,0,Vasilian Mbrice,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,ATT,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,100,0,0,,,,0,0,0,0,0,0,0,0,0,0,,4,0,0,0,1,1,0,0,0,5,1,83.33,33.33,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,
,,0,William Recupero,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,CM,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,71.43,0,0,,,,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,8,2,0,1,0,20,2,90.91,45.45,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,
,,0,Casey Powers,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,GK,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,,0,0,,100,,0,0,0,0,0,0,0,0,0,0,,2,0,1,2,11,0,3,0,0,14,2,87.5,87.5,85.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,100,0,Seacoast United,1,
,,0,Logan Moniz,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,CM,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,66.67,0,0,,,,2,0,0,0,0,0,0,0,0,0,,9,2,0,0,13,2,0,0,1,22,4,84.62,57.69,86.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,
,,0,Karim Eljamal,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,DM,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,2,1,1,62.5,0,0,100,,100,0,0,0,0,0,0,0,0,0,0,,10,0,0,0,10,3,0,0,2,20,3,86.96,56.52,76.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,1,
2nd Half,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,Brendan Furlonge,,14,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,RWB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,2,1,0,0,4,0,0,0,2,6,1,85.71,57.14,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,0,
,,0,Ethan Pham,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,RCB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,66.67,0,0,,50,,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,12,3,0,0,3,18,3,85.71,71.43,80,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,0,
,,0,Finn van Clief,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,ATT,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,66.67,0,0,,,,0,0,0,0,0,0,0,0,0,0,,3,1,0,0,0,1,0,1,1,3,2,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,0,
,,0,Jonah Greenblatt,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,LWB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,1,,5,2,0,0,1,0,0,0,1,6,2,75,12.5,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,0,
,,0,Kaio Morias,,16,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,RWB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,0,0,,,,0,1,0,0,0,0,0,0,0,0,,6,1,0,0,2,1,0,0,2,8,2,80,30,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,0,
,,0,Killian Walsh,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,ATT,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,50,0,0,,,,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,2,0,0,1,2,5,0,100,40,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,0,
,,0,Marcus Cooper,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,CB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,100,0,0,,,100,0,0,0,0,0,0,0,0,0,0,,8,0,0,0,9,0,0,0,1,17,0,100,52.94,100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,0,
,,0,Sam Cunniffe,,30,Boston Bolts U16,Boston Bolts U16 vs. Seacoast United 2024-02-10,LCB,2/10/2024 12:00:00 AM,Round 0210,2/10/2024 12:00:00 AM,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,2,1,1,0,75,0,0,,33.33,,0,0,1,0,0,0,0,1,0,0,0,7,0,2,2,9,3,2,1,1,18,5,78.26,69.57,68.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Seacoast United,0,
