Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U16,Normal,SOT,0,12,24,28,-,-,12/7/2023,Boston Bolts U16,13:23
Boston Bolts U16,Normal,Blocked,0,12,5,64,-,-,12/7/2023,Boston Bolts U16,13:59
Boston Bolts U16,Volley,Shot,0,12,19,59,-,-,12/7/2023,Boston Bolts U16,22:00
Boston Bolts U16,Normal,Blocked,0,12,19,61,-,-,12/7/2023,Boston Bolts U16,23:28
Boston Bolts U16,Header,SOT,0,12,7,51,-,-,12/7/2023,Boston Bolts U16,30:33
Albion,Normal,SOT,0,12,82,65,-,-,12/7/2023,Boston Bolts U16,35:37
Boston Bolts U16,Normal,Goal,0,12,89,34,-,-,12/7/2023,Boston Bolts U16,46:24
Boston Bolts U16,Normal,Blocked,0,12,84,54,-,-,12/7/2023,Boston Bolts U16,47:29
Boston Bolts U16,1 on 1,SOT,0,12,92,36,-,-,12/7/2023,Boston Bolts U16,50:58
Boston Bolts U16,Normal,Shot,0,12,83,68,-,-,12/7/2023,Boston Bolts U16,58:17
Boston Bolts U16,Normal,SOT,0,12,85,47,-,-,12/7/2023,Boston Bolts U16,59:31
Albion,1 on 1,SOT,0,12,24,59,-,-,12/7/2023,Boston Bolts U16,62:32
Boston Bolts U16,1 on 1,Goal,0,12,89,45,-,-,12/7/2023,Boston Bolts U16,67:36
Boston Bolts U16,Normal,SOT,0,12,79,57,-,-,12/7/2023,Boston Bolts U16,69:22
Albion,Volley,Blocked,0,12,10,33,-,-,12/7/2023,Boston Bolts U16,78:21
Boston Bolts U16,Normal,Blocked,0,12,88,65,-,-,12/7/2023,Boston Bolts U16,80:52
Albion,Header,SOT,0,12,8,41,-,-,12/7/2023,Boston Bolts U16,90:03
Boston Bolts U16,Normal,SOT,0,12,91,69,-,-,12/7/2023,Boston Bolts U16,91:12
Boston Bolts U16,Normal,SOT,0,12,93,69,-,-,12/7/2023,Boston Bolts U16,91:39
