Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U13 MLS Next,Normal,SOT,5,27,79,57,-,-,10/20/2024,Boston Bolts U13 MLS Next,03:07
Westchester,Volley,Shot,5,27,16,56,-,-,10/20/2024,Boston Bolts U13 MLS Next,05:26
Westchester,1 on 1,Goal Far Post,5,27,10,33,-,-,10/20/2024,Boston Bolts U13 MLS Next,08:10
Westchester,Normal,Goal,5,27,32,50,-,-,10/20/2024,Boston Bolts U13 MLS Next,16:03
Westchester,Volley,Shot,5,27,15,84,-,-,10/20/2024,Boston Bolts U13 MLS Next,18:29
Westchester,Normal,Blocked,5,27,28,26,-,-,10/20/2024,Boston Bolts U13 MLS Next,23:41
Westchester,Volley,Shot,5,27,13,67,-,-,10/20/2024,Boston Bolts U13 MLS Next,24:45
Boston Bolts U13 MLS Next,Normal,Blocked,5,27,77,55,-,-,10/20/2024,Boston Bolts U13 MLS Next,26:38
Boston Bolts U13 MLS Next,FK,SOT,5,27,75,14,-,-,10/20/2024,Boston Bolts U13 MLS Next,29:36
Boston Bolts U13 MLS Next,First Time,SOT,5,27,88,65,-,-,10/20/2024,Boston Bolts U13 MLS Next,32:32
Westchester,Normal,SOT,5,27,6,50,-,-,10/20/2024,Boston Bolts U13 MLS Next,33:12
Westchester,Volley,Blocked,5,27,16,38,-,-,10/20/2024,Boston Bolts U13 MLS Next,33:16
Westchester,First Time,Shot,5,27,88,65,-,-,10/20/2024,Boston Bolts U13 MLS Next,37:36
Westchester,Volley,Shot,5,27,90,65,-,-,10/20/2024,Boston Bolts U13 MLS Next,40:50
Westchester,First Time,Shot,5,27,88,54,-,-,10/20/2024,Boston Bolts U13 MLS Next,41:39
Boston Bolts U13 MLS Next,Header,Shot,5,27,4,60,-,-,10/20/2024,Boston Bolts U13 MLS Next,43:44
Westchester,Volley,Blocked,5,27,92,32,-,-,10/20/2024,Boston Bolts U13 MLS Next,44:33
Boston Bolts U13 MLS Next,First Time,Shot,5,27,16,35,-,-,10/20/2024,Boston Bolts U13 MLS Next,44:52
Westchester,First Time,SOT,5,27,72,32,-,-,10/20/2024,Boston Bolts U13 MLS Next,45:26
Boston Bolts U13 MLS Next,First Time,Shot,5,27,26,34,-,-,10/20/2024,Boston Bolts U13 MLS Next,45:47
Westchester,First Time,Shot,5,27,88,62,-,-,10/20/2024,Boston Bolts U13 MLS Next,47:03
Westchester,FK,SOT,5,27,72,23,-,-,10/20/2024,Boston Bolts U13 MLS Next,48:15
Westchester,Normal,Blocked,5,27,88,30,-,-,10/20/2024,Boston Bolts U13 MLS Next,54:06
Boston Bolts U13 MLS Next,FK,SOT,5,27,16,85,-,-,10/20/2024,Boston Bolts U13 MLS Next,60:08
Boston Bolts U13 MLS Next,Volley,Blocked,5,27,16,31,-,-,10/20/2024,Boston Bolts U13 MLS Next,60:24
Boston Bolts U13 MLS Next,Volley,Blocked,5,27,27,37,-,-,10/20/2024,Boston Bolts U13 MLS Next,60:27
Boston Bolts U13 MLS Next,FK,SOT,5,27,22,52,-,-,10/20/2024,Boston Bolts U13 MLS Next,63:22
Westchester,Normal,SOT,5,27,79,62,-,-,10/20/2024,Boston Bolts U13 MLS Next,64:30
Westchester,Normal,Blocked,5,27,94,54,-,-,10/20/2024,Boston Bolts U13 MLS Next,68:19
Westchester,First Time,Blocked,5,27,86,62,-,-,10/20/2024,Boston Bolts U13 MLS Next,68:21
Westchester,Normal,Goal Inside Post,5,27,85,46,-,-,10/20/2024,Boston Bolts U13 MLS Next,68:24
