Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U13 NALB,First Time,Shot,3,16,80,60,-,-,10/26/2024,Boston Bolts U13 NALB,01:03
Boston Bolts U13 NALB,Volley,Shot,3,16,81,70,-,-,10/26/2024,Boston Bolts U13 NALB,06:48
Boston Bolts U13 NALB,First Time,Shot,3,16,84,60,-,-,10/26/2024,Boston Bolts U13 NALB,08:02
Boston Bolts U13 NALB,First Time,SOT,3,16,89,59,-,-,10/26/2024,Boston Bolts U13 NALB,10:42
Boston Bolts U13 NALB,First Time,Goal,3,16,96,44,-,-,10/26/2024,Boston Bolts U13 NALB,10:45
Syracuse Development Academy,Volley,Blocked,3,16,10,28,-,-,10/26/2024,Boston Bolts U13 NALB,18:09
Syracuse Development Academy,1 on 1,SOT,3,16,15,62,-,-,10/26/2024,Boston Bolts U13 NALB,19:10
Boston Bolts U13 NALB,Normal,Shot,3,16,83,67,-,-,10/26/2024,Boston Bolts U13 NALB,29:23
Syracuse Development Academy,Penalty,Goal Inside Post,3,16,11,50,-,-,10/26/2024,Boston Bolts U13 NALB,31:01
Boston Bolts U13 NALB,First Time,Goal,3,16,5,57,-,-,10/26/2024,Boston Bolts U13 NALB,35:47
Syracuse Development Academy,Normal,SOT,3,16,77,59,-,-,10/26/2024,Boston Bolts U13 NALB,54:32
Boston Bolts U13 NALB,Normal,Blocked,3,16,12,62,-,-,10/26/2024,Boston Bolts U13 NALB,58:20
Boston Bolts U13 NALB,First Time,Shot,3,16,16,72,-,-,10/26/2024,Boston Bolts U13 NALB,58:46
Boston Bolts U13 NALB,First Time,SOT,3,16,9,67,-,-,10/26/2024,Boston Bolts U13 NALB,62:19
Syracuse Development Academy,Normal,SOT,3,16,91,38,-,-,10/26/2024,Boston Bolts U13 NALB,65:09
Boston Bolts U13 NALB,First Time,Goal,3,16,15,38,-,-,10/26/2024,Boston Bolts U13 NALB,67:57
Boston Bolts U13 NALB,Normal,SOT,3,16,22,39,-,-,10/26/2024,Boston Bolts U13 NALB,69:04
