Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U13 NALSS,Header,Shot,7,16,7,37,-,-,10/5/2024,Boston Bolts U13 NALSS,00:56
Boston Bolts U13 NALSS,First Time,SOT,7,40,8,58,-,-,10/5/2024,Boston Bolts U13 NALSS,01:57
Boston Bolts U13 NALSS,Volley,SOT,8,43,12,48,-,-,10/5/2024,Boston Bolts U13 NALSS,05:23
Boston Bolts U13 NALSS,Normal,Shot,9,18,22,65,-,-,10/5/2024,Boston Bolts U13 NALSS,07:00
Boston Bolts U13 NALSS,Normal,SOT,9,42,16,51,-,-,10/5/2024,Boston Bolts U13 NALSS,13:39
Boston Bolts U13 NALSS,Volley,Shot,10,2,17,63,-,-,10/5/2024,Boston Bolts U13 NALSS,14:15
Boston Bolts U13 NALSS,1 on 1,SOT,10,50,12,37,-,-,10/5/2024,Boston Bolts U13 NALSS,20:18
Boston Bolts U13 NALSS,1 on 1,SOT,11,50,2,38,-,-,10/5/2024,Boston Bolts U13 NALSS,21:05
Boston Bolts U13 NALSS,First Time,Shot,12,10,33,63,-,-,10/5/2024,Boston Bolts U13 NALSS,21:30
Rush,Volley,Shot,12,40,86,65,-,-,10/5/2024,Boston Bolts U13 NALSS,27:16
Boston Bolts U13 NALSS,Normal,SOT,13,6,6,66,-,-,10/5/2024,Boston Bolts U13 NALSS,28:35
Boston Bolts U13 NALSS,1 on 1,SOT,13,38,7,42,-,-,10/5/2024,Boston Bolts U13 NALSS,29:13
Boston Bolts U13 NALSS,First Time,Goal,13,56,2,43,-,-,10/5/2024,Boston Bolts U13 NALSS,29:15
Rush,1 on 1,Goal Inside Post,14,39,87,64,-,-,10/5/2024,Boston Bolts U13 NALSS,35:14
Boston Bolts U13 NALSS,Normal,Blocked,15,43,91,45,-,-,10/5/2024,Boston Bolts U13 NALSS,36:28
Boston Bolts U13 NALSS,First Time,Shot,15,54,90,62,-,-,10/5/2024,Boston Bolts U13 NALSS,36:32
Boston Bolts U13 NALSS,Normal,Shot,16,34,84,66,-,-,10/5/2024,Boston Bolts U13 NALSS,40:11
Rush,1 on 1,Shot,17,6,17,46,-,-,10/5/2024,Boston Bolts U13 NALSS,40:52
Boston Bolts U13 NALSS,Normal,SOT,17,27,83,47,-,-,10/5/2024,Boston Bolts U13 NALSS,41:45
Rush,Normal,SOT,17,52,10,31,-,-,10/5/2024,Boston Bolts U13 NALSS,43:46
Rush,FK,SOT Inside Post,18,18,20,38,-,-,10/5/2024,Boston Bolts U13 NALSS,44:58
Boston Bolts U13 NALSS,Normal,Blocked,18,49,83,65,-,-,10/5/2024,Boston Bolts U13 NALSS,45:45
Boston Bolts U13 NALSS,Volley,Shot,18,59,78,63,-,-,10/5/2024,Boston Bolts U13 NALSS,45:48
Boston Bolts U13 NALSS,Normal,SOT,19,39,83,45,-,-,10/5/2024,Boston Bolts U13 NALSS,46:19
Boston Bolts U13 NALSS,Normal,SOT,20,10,82,62,-,-,10/5/2024,Boston Bolts U13 NALSS,47:57
Boston Bolts U13 NALSS,Header,Goal,20,41,95,48,-,-,10/5/2024,Boston Bolts U13 NALSS,48:25
Boston Bolts U13 NALSS,First Time,SOT,21,18,90,73,-,-,10/5/2024,Boston Bolts U13 NALSS,49:28
Boston Bolts U13 NALSS,Normal,Shot,21,40,90,72,-,-,10/5/2024,Boston Bolts U13 NALSS,50:28
Boston Bolts U13 NALSS,Normal,SOT,21,58,80,36,-,-,10/5/2024,Boston Bolts U13 NALSS,51:38
Boston Bolts U13 NALSS,1 on 1,Goal,22,56,94,60,-,-,10/5/2024,Boston Bolts U13 NALSS,53:08
Boston Bolts U13 NALSS,FK,SOT,23,22,73,88,-,-,10/5/2024,Boston Bolts U13 NALSS,57:44
Boston Bolts U13 NALSS,Header,Shot,23,44,91,50,-,-,10/5/2024,Boston Bolts U13 NALSS,58:34
Boston Bolts U13 NALSS,Normal,SOT,24,15,75,44,-,-,10/5/2024,Boston Bolts U13 NALSS,59:38
Boston Bolts U13 NALSS,Normal,SOT,24,43,91,74,-,-,10/5/2024,Boston Bolts U13 NALSS,62:09
Boston Bolts U13 NALSS,Normal,Goal,25,5,97,45,-,-,10/5/2024,Boston Bolts U13 NALSS,62:13
Boston Bolts U13 NALSS,First Time,Shot,25,28,84,26,-,-,10/5/2024,Boston Bolts U13 NALSS,65:19
Boston Bolts U13 NALSS,Volley,Shot,25,59,81,55,-,-,10/5/2024,Boston Bolts U13 NALSS,66:37
