Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U14 MLS Next,Volley,Shot,1,30,13,31,-,-,11/02/2024,Boston Bolts U14 MLS Next,01:04
Met Oval,FK,Shot,1,30,82,32,-,-,11/02/2024,Boston Bolts U14 MLS Next,06:04
Met Oval,Header,Shot,1,30,95,42,-,-,11/02/2024,Boston Bolts U14 MLS Next,09:13
Met Oval,Volley,Shot,1,30,86,57,-,-,11/02/2024,Boston Bolts U14 MLS Next,10:14
Boston Bolts U14 MLS Next,FK,Shot,1,30,19,66,-,-,11/02/2024,Boston Bolts U14 MLS Next,11:47
Met Oval,Normal,SOT,1,30,80,32,-,-,11/02/2024,Boston Bolts U14 MLS Next,18:51
Boston Bolts U14 MLS Next,Volley,Shot,1,30,19,46,-,-,11/02/2024,Boston Bolts U14 MLS Next,20:48
Boston Bolts U14 MLS Next,Normal,Blocked,1,30,16,33,-,-,11/02/2024,Boston Bolts U14 MLS Next,37:46
Boston Bolts U14 MLS Next,Normal,Goal,1,30,7,44,-,-,11/02/2024,Boston Bolts U14 MLS Next,38:19
Boston Bolts U14 MLS Next,Normal,SOT,1,30,16,52,-,-,11/02/2024,Boston Bolts U14 MLS Next,39:00
Boston Bolts U14 MLS Next,Volley,Shot,1,30,80,68,-,-,11/02/2024,Boston Bolts U14 MLS Next,43:54
Boston Bolts U14 MLS Next,Normal,Shot,1,30,22,70,-,-,11/02/2024,Boston Bolts U14 MLS Next,47:52
Met Oval,FK,Goal,1,30,32,65,-,-,11/02/2024,Boston Bolts U14 MLS Next,55:39
Boston Bolts U14 MLS Next,Volley,Shot,1,30,95,51,-,-,11/02/2024,Boston Bolts U14 MLS Next,59:21
Boston Bolts U14 MLS Next,Volley,Shot,1,30,80,62,-,-,11/02/2024,Boston Bolts U14 MLS Next,60:14
Met Oval,First Time,Shot,1,30,12,43,-,-,11/02/2024,Boston Bolts U14 MLS Next,62:33
Boston Bolts U14 MLS Next,First Time,SOT,1,30,84,45,-,-,11/02/2024,Boston Bolts U14 MLS Next,63:17
Met Oval,Normal,SOT,1,30,7,34,-,-,11/02/2024,Boston Bolts U14 MLS Next,64:05
Met Oval,First Time,SOT,1,30,21,64,-,-,11/02/2024,Boston Bolts U14 MLS Next,69:06
Met Oval,Normal,Shot,1,30,20,34,-,-,11/02/2024,Boston Bolts U14 MLS Next,69:52
Met Oval,Normal,SOT,1,30,18,75,-,-,11/02/2024,Boston Bolts U14 MLS Next,73:01
Met Oval,FK,SOT,1,30,14,82,-,-,11/02/2024,Boston Bolts U14 MLS Next,78:36
Met Oval,Header,SOT,1,30,8,45,-,-,11/02/2024,Boston Bolts U14 MLS Next,80:15
