Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U15 MLS Next,Normal,Blocked,37,47,14,67,-,-,11/16/2024,Boston Bolts U15 MLS Next,00:59
Boston Bolts U15 MLS Next,First Time,Blocked,37,47,10,41,-,-,11/16/2024,Boston Bolts U15 MLS Next,01:36
Cedar Stars,First Time,Blocked,37,47,91,69,-,-,11/16/2024,Boston Bolts U15 MLS Next,04:59
Cedar Stars,Normal,Blocked,37,47,90,59,-,-,11/16/2024,Boston Bolts U15 MLS Next,05:01
Cedar Stars,Normal,Goal Far Post,37,47,91,37,-,-,11/16/2024,Boston Bolts U15 MLS Next,06:33
Cedar Stars,Normal,SOT,37,47,93,67,-,-,11/16/2024,Boston Bolts U15 MLS Next,09:55
Cedar Stars,Volley,SOT,37,47,96,69,-,-,11/16/2024,Boston Bolts U15 MLS Next,14:13
Boston Bolts U15 MLS Next,Normal,Blocked,37,47,15,69,-,-,11/16/2024,Boston Bolts U15 MLS Next,20:09
Boston Bolts U15 MLS Next,Header,Shot,37,47,6,45,-,-,11/16/2024,Boston Bolts U15 MLS Next,21:33
Cedar Stars,Volley,Blocked,37,47,87,53,-,-,11/16/2024,Boston Bolts U15 MLS Next,22:11
Boston Bolts U15 MLS Next,1 on 1,Goal,37,47,10,52,-,-,11/16/2024,Boston Bolts U15 MLS Next,23:23
Cedar Stars,First Time,Blocked,37,47,92,43,-,-,11/16/2024,Boston Bolts U15 MLS Next,27:02
Boston Bolts U15 MLS Next,Normal,Goal,37,47,16,62,-,-,11/16/2024,Boston Bolts U15 MLS Next,30:07
Boston Bolts U15 MLS Next,First Time,SOT,37,47,12,26,-,-,11/16/2024,Boston Bolts U15 MLS Next,33:22
Cedar Stars,Volley,Goal,37,47,88,59,-,-,11/16/2024,Boston Bolts U15 MLS Next,34:58
Boston Bolts U15 MLS Next,Normal,Shot,37,47,12,27,-,-,11/16/2024,Boston Bolts U15 MLS Next,36:46
Boston Bolts U15 MLS Next,First Time,Blocked,37,47,7,42,-,-,11/16/2024,Boston Bolts U15 MLS Next,39:19
Boston Bolts U15 MLS Next,Volley,Blocked,37,47,82,64,-,-,11/16/2024,Boston Bolts U15 MLS Next,40:29
Boston Bolts U15 MLS Next,Normal,Shot,37,47,88,58,-,-,11/16/2024,Boston Bolts U15 MLS Next,41:46
Cedar Stars,Volley,Shot,37,47,13,59,-,-,11/16/2024,Boston Bolts U15 MLS Next,43:33
Boston Bolts U15 MLS Next,Normal,SOT,37,47,88,59,-,-,11/16/2024,Boston Bolts U15 MLS Next,44:41
Cedar Stars,Normal,Shot,37,47,22,38,-,-,11/16/2024,Boston Bolts U15 MLS Next,45:24
Cedar Stars,First Time,Goal,37,47,11,42,-,-,11/16/2024,Boston Bolts U15 MLS Next,55:48
Cedar Stars,Volley,SOT,37,47,6,69,-,-,11/16/2024,Boston Bolts U15 MLS Next,62:49
Cedar Stars,Normal,Shot,37,47,7,39,-,-,11/16/2024,Boston Bolts U15 MLS Next,66:17
Boston Bolts U15 MLS Next,Normal,Shot,37,47,84,27,-,-,11/16/2024,Boston Bolts U15 MLS Next,67:42
Boston Bolts U15 MLS Next,Normal,Shot,37,47,98,39,-,-,11/16/2024,Boston Bolts U15 MLS Next,71:32
Boston Bolts U15 MLS Next,Volley,Shot,37,47,97,50,-,-,11/16/2024,Boston Bolts U15 MLS Next,71:34
Boston Bolts U15 MLS Next,Penalty,Goal,37,47,89,50,-,-,11/16/2024,Boston Bolts U15 MLS Next,80:01
