Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U16 MLS Next,Normal,SOT,0,16,97,35,-,-,11/09/2024,Boston Bolts U16 MLS Next,03:28
Bayside,First Time,SOT,0,16,11,63,-,-,11/09/2024,Boston Bolts U16 MLS Next,14:16
Boston Bolts U16 MLS Next,Normal,Goal,0,16,84,66,-,-,11/09/2024,Boston Bolts U16 MLS Next,19:42
Bayside,Volley,SOT,0,16,17,28,-,-,11/09/2024,Boston Bolts U16 MLS Next,20:38
Boston Bolts U16 MLS Next,Normal,Shot,0,16,81,23,-,-,11/09/2024,Boston Bolts U16 MLS Next,23:45
Bayside,Header,Blocked,0,16,16,42,-,-,11/09/2024,Boston Bolts U16 MLS Next,26:18
Bayside,Header,SOT Inside Post,0,16,5,53,-,-,11/09/2024,Boston Bolts U16 MLS Next,32:20
Bayside,FK,Shot,0,16,22,32,-,-,11/09/2024,Boston Bolts U16 MLS Next,35:08
Bayside,Header,Shot,0,16,12,44,-,-,11/09/2024,Boston Bolts U16 MLS Next,38:30
Bayside,Normal,Shot,0,16,11,59,-,-,11/09/2024,Boston Bolts U16 MLS Next,41:47
Boston Bolts U16 MLS Next,Normal,SOT,0,16,9,35,-,-,11/09/2024,Boston Bolts U16 MLS Next,53:53
Bayside,Normal,Goal,0,16,68,22,-,-,11/09/2024,Boston Bolts U16 MLS Next,59:34
Boston Bolts U16 MLS Next,Penalty,Goal,0,16,11,50,-,-,11/09/2024,Boston Bolts U16 MLS Next,70:03
Bayside,Normal,SOT,0,16,79,66,-,-,11/09/2024,Boston Bolts U16 MLS Next,72:10
Boston Bolts U16 MLS Next,Normal,Blocked,0,16,7,68,-,-,11/09/2024,Boston Bolts U16 MLS Next,76:56
Boston Bolts U16 MLS Next,Volley,Shot,0,16,16,50,-,-,11/09/2024,Boston Bolts U16 MLS Next,78:12
Bayside,Volley,Shot,0,16,79,36,-,-,11/09/2024,Boston Bolts U16 MLS Next,87:02
Boston Bolts U16 MLS Next,Normal,Shot,0,16,19,52,-,-,11/09/2024,Boston Bolts U16 MLS Next,87:44
Bayside,First Time,Goal Far Post,0,16,81,57,-,-,11/09/2024,Boston Bolts U16 MLS Next,88:37
