Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
New York SC,Normal,SOT,0,58,86,45,-,-,11/03/2024,Boston Bolts U16 MLS Next,06:29
Boston Bolts U16 MLS Next,Header,Shot,0,58,6,59,-,-,11/03/2024,Boston Bolts U16 MLS Next,21:56
New York SC,Normal,SOT,0,58,93,33,-,-,11/03/2024,Boston Bolts U16 MLS Next,23:39
Boston Bolts U16 MLS Next,Normal,SOT,0,58,11,60,-,-,11/03/2024,Boston Bolts U16 MLS Next,25:27
Boston Bolts U16 MLS Next,Volley,Shot,0,58,25,63,-,-,11/03/2024,Boston Bolts U16 MLS Next,30:34
Boston Bolts U16 MLS Next,Volley,Shot,0,58,20,27,-,-,11/03/2024,Boston Bolts U16 MLS Next,33:13
Boston Bolts U16 MLS Next,Normal,Shot,0,58,24,36,-,-,11/03/2024,Boston Bolts U16 MLS Next,43:40
New York SC,Normal,SOT,0,58,88,26,-,-,11/03/2024,Boston Bolts U16 MLS Next,45:00
Boston Bolts U16 MLS Next,Header,SOT,0,58,92,55,-,-,11/03/2024,Boston Bolts U16 MLS Next,53:42
Boston Bolts U16 MLS Next,Normal,Shot,0,58,89,32,-,-,11/03/2024,Boston Bolts U16 MLS Next,54:29
Boston Bolts U16 MLS Next,First Time,Shot,0,58,90,50,-,-,11/03/2024,Boston Bolts U16 MLS Next,55:43
Boston Bolts U16 MLS Next,Penalty,SOT,0,58,89,51,-,-,11/03/2024,Boston Bolts U16 MLS Next,59:22
Boston Bolts U16 MLS Next,Header,Shot,0,58,90,58,-,-,11/03/2024,Boston Bolts U16 MLS Next,65:22
Boston Bolts U16 MLS Next,Normal,Shot,0,58,74,50,-,-,11/03/2024,Boston Bolts U16 MLS Next,67:50
New York SC,First Time,Blocked,0,58,8,34,-,-,11/03/2024,Boston Bolts U16 MLS Next,72:19
New York SC,Volley,Shot,0,58,17,58,-,-,11/03/2024,Boston Bolts U16 MLS Next,72:52
Boston Bolts U16 MLS Next,Normal,SOT,0,58,95,30,-,-,11/03/2024,Boston Bolts U16 MLS Next,79:38
New York SC,Normal,SOT,0,58,10,63,-,-,11/03/2024,Boston Bolts U16 MLS Next,81:05
New York SC,Normal,SOT,0,58,18,73,-,-,11/03/2024,Boston Bolts U16 MLS Next,81:28
New York SC,Normal,Shot,0,58,19,26,-,-,11/03/2024,Boston Bolts U16 MLS Next,87:26
