Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Valeo,Volley,Shot,6,17,19,28,-,-,10/26/2024,Boston Bolts U16 MLS Next,05:22
Boston Bolts U16 MLS Next,Normal,SOT,6,17,87,66,-,-,10/26/2024,Boston Bolts U16 MLS Next,07:39
Boston Bolts U16 MLS Next,Header,Goal,6,17,94,40,-,-,10/26/2024,Boston Bolts U16 MLS Next,09:19
Boston Bolts U16 MLS Next,First Time,Goal,6,17,89,42,-,-,10/26/2024,Boston Bolts U16 MLS Next,10:28
Valeo,Normal,SOT,6,17,12,28,-,-,10/26/2024,Boston Bolts U16 MLS Next,18:15
Boston Bolts U16 MLS Next,Volley,Blocked,6,17,93,33,-,-,10/26/2024,Boston Bolts U16 MLS Next,30:25
Boston Bolts U16 MLS Next,Normal,SOT,6,17,93,31,-,-,10/26/2024,Boston Bolts U16 MLS Next,33:07
Boston Bolts U16 MLS Next,Normal,Goal,6,17,70,45,-,-,10/26/2024,Boston Bolts U16 MLS Next,34:11
Boston Bolts U16 MLS Next,Normal,Goal,6,17,95,44,-,-,10/26/2024,Boston Bolts U16 MLS Next,38:22
Boston Bolts U16 MLS Next,1 on 1,Goal,6,17,93,38,-,-,10/26/2024,Boston Bolts U16 MLS Next,41:00
Boston Bolts U16 MLS Next,Normal,SOT,6,17,77,44,-,-,10/26/2024,Boston Bolts U16 MLS Next,42:54
Valeo,Header,Shot,6,17,12,43,-,-,10/26/2024,Boston Bolts U16 MLS Next,44:38
Valeo,Normal,SOT,6,17,91,32,-,-,10/26/2024,Boston Bolts U16 MLS Next,47:03
Boston Bolts U16 MLS Next,Normal,Goal,6,17,4,59,-,-,10/26/2024,Boston Bolts U16 MLS Next,47:30
Boston Bolts U16 MLS Next,Normal,Shot,6,17,24,40,-,-,10/26/2024,Boston Bolts U16 MLS Next,48:53
Valeo,Normal,SOT Far Post,6,17,82,71,-,-,10/26/2024,Boston Bolts U16 MLS Next,52:40
Boston Bolts U16 MLS Next,Normal,SOT,6,17,7,69,-,-,10/26/2024,Boston Bolts U16 MLS Next,53:22
Valeo,Normal,Shot,6,17,71,50,-,-,10/26/2024,Boston Bolts U16 MLS Next,55:03
Boston Bolts U16 MLS Next,Volley,Shot,6,17,3,51,-,-,10/26/2024,Boston Bolts U16 MLS Next,58:02
Boston Bolts U16 MLS Next,Normal,Shot,6,17,25,62,-,-,10/26/2024,Boston Bolts U16 MLS Next,64:50
Boston Bolts U16 MLS Next,Normal,SOT,6,17,24,49,-,-,10/26/2024,Boston Bolts U16 MLS Next,67:50
Boston Bolts U16 MLS Next,Normal,Shot,6,17,26,34,-,-,10/26/2024,Boston Bolts U16 MLS Next,74:32
Boston Bolts U16 MLS Next,First Time,Shot,6,17,2,48,-,-,10/26/2024,Boston Bolts U16 MLS Next,80:56
Boston Bolts U16 MLS Next,First Time,Goal,6,17,7,37,-,-,10/26/2024,Boston Bolts U16 MLS Next,82:42
Boston Bolts U16 MLS Next,Normal,Blocked,6,17,24,36,-,-,10/26/2024,Boston Bolts U16 MLS Next,84:59
Boston Bolts U16 MLS Next,Normal,Shot,6,17,16,83,-,-,10/26/2024,Boston Bolts U16 MLS Next,85:48
Boston Bolts U16 MLS Next,Normal,Shot,6,17,16,66,-,-,10/26/2024,Boston Bolts U16 MLS Next,86:36
Boston Bolts U16 MLS Next,1 on 1,SOT,6,17,7,58,-,-,10/26/2024,Boston Bolts U16 MLS Next,89:11
Boston Bolts U16 MLS Next,First Time,Shot,6,17,11,60,-,-,10/26/2024,Boston Bolts U16 MLS Next,89:13
