Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Montreal,Volley,Shot,0,15,88,26,-,-,10/6/2024,Boston Bolts U16 MLS Next,12:08
Boston Bolts U16 MLS Next,Normal,SOT,0,15,17,48,-,-,10/6/2024,Boston Bolts U16 MLS Next,16:53
Montreal,Normal,SOT,0,15,71,51,-,-,10/6/2024,Boston Bolts U16 MLS Next,19:33
Montreal,Normal,Shot,0,15,74,43,-,-,10/6/2024,Boston Bolts U16 MLS Next,21:47
Montreal,1 on 1,SOT,0,15,87,41,-,-,10/6/2024,Boston Bolts U16 MLS Next,29:49
Montreal,1 on 1,Goal Inside Post,0,15,91,36,-,-,10/6/2024,Boston Bolts U16 MLS Next,30:56
Montreal,Normal,Blocked,0,15,86,36,-,-,10/6/2024,Boston Bolts U16 MLS Next,33:03
Montreal,Header,SOT,0,15,90,55,-,-,10/6/2024,Boston Bolts U16 MLS Next,33:06
Montreal,FK,Shot,0,15,75,45,-,-,10/6/2024,Boston Bolts U16 MLS Next,36:02
Montreal,First Time,Shot,0,15,89,42,-,-,10/6/2024,Boston Bolts U16 MLS Next,37:10
Montreal,Normal,SOT Far Post,0,15,78,66,-,-,10/6/2024,Boston Bolts U16 MLS Next,40:44
Montreal,Normal,Goal,0,15,84,69,-,-,10/6/2024,Boston Bolts U16 MLS Next,43:29
Montreal,Normal,Shot,0,15,77,34,-,-,10/6/2024,Boston Bolts U16 MLS Next,45:30
Montreal,First Time,SOT,0,15,9,46,-,-,10/6/2024,Boston Bolts U16 MLS Next,45:26
Boston Bolts U16 MLS Next,Normal,Blocked,0,15,79,65,-,-,10/6/2024,Boston Bolts U16 MLS Next,48:26
Boston Bolts U16 MLS Next,Normal,SOT,0,15,95,32,-,-,10/6/2024,Boston Bolts U16 MLS Next,49:43
Boston Bolts U16 MLS Next,Normal,SOT,0,15,68,37,-,-,10/6/2024,Boston Bolts U16 MLS Next,55:25
Montreal,Normal,SOT,0,15,26,42,-,-,10/6/2024,Boston Bolts U16 MLS Next,59:49
Montreal,Normal,Blocked,0,15,13,36,-,-,10/6/2024,Boston Bolts U16 MLS Next,61:06
Montreal,Volley,Blocked,0,15,6,60,-,-,10/6/2024,Boston Bolts U16 MLS Next,63:43
Montreal,Volley,Blocked,0,15,12,64,-,-,10/6/2024,Boston Bolts U16 MLS Next,63:48
Montreal,Volley,SOT Inside Post,0,15,15,55,-,-,10/6/2024,Boston Bolts U16 MLS Next,63:50
Boston Bolts U16 MLS Next,1 on 1,Goal,0,15,90,50,-,-,10/6/2024,Boston Bolts U16 MLS Next,67:46
Montreal,Normal,Blocked,0,15,19,56,-,-,10/6/2024,Boston Bolts U16 MLS Next,71:45
Montreal,1 on 1,SOT,0,15,8,65,-,-,10/6/2024,Boston Bolts U16 MLS Next,83:55
Montreal,Normal,SOT,0,15,9,70,-,-,10/6/2024,Boston Bolts U16 MLS Next,84:56
