Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Seacoast,Normal,SOT,2,46,17,67,-,-,10/26/2024,Boston Bolts U17 MLS Next,04:48
Boston Bolts U17 MLS Next,Normal,SOT,2,46,82,33,-,-,10/26/2024,Boston Bolts U17 MLS Next,07:50
Seacoast,Normal,SOT,2,46,21,51,-,-,10/26/2024,Boston Bolts U17 MLS Next,08:26
Seacoast,Header,Shot,2,46,6,40,-,-,10/26/2024,Boston Bolts U17 MLS Next,09:23
Boston Bolts U17 MLS Next,FK,Shot,2,46,76,58,-,-,10/26/2024,Boston Bolts U17 MLS Next,26:21
Boston Bolts U17 MLS Next,Header,Goal,2,46,94,45,-,-,10/26/2024,Boston Bolts U17 MLS Next,32:54
Boston Bolts U17 MLS Next,Normal,Shot,2,46,70,48,-,-,10/26/2024,Boston Bolts U17 MLS Next,34:00
Boston Bolts U17 MLS Next,Normal,Blocked,2,46,84,45,-,-,10/26/2024,Boston Bolts U17 MLS Next,34:25
Boston Bolts U17 MLS Next,First Time,Blocked,2,46,89,48,-,-,10/26/2024,Boston Bolts U17 MLS Next,36:28
Boston Bolts U17 MLS Next,FK,SOT,2,46,84,64,-,-,10/26/2024,Boston Bolts U17 MLS Next,37:12
Boston Bolts U17 MLS Next,Normal,Shot,2,46,82,55,-,-,10/26/2024,Boston Bolts U17 MLS Next,38:00
Boston Bolts U17 MLS Next,Normal,SOT,2,46,85,25,-,-,10/26/2024,Boston Bolts U17 MLS Next,40:42
Boston Bolts U17 MLS Next,Normal,Shot,2,46,84,36,-,-,10/26/2024,Boston Bolts U17 MLS Next,41:34
Seacoast,Normal,Shot,2,46,58,51,-,-,10/26/2024,Boston Bolts U17 MLS Next,47:23
Boston Bolts U17 MLS Next,1 on 1,SOT,2,46,7,36,-,-,10/26/2024,Boston Bolts U17 MLS Next,48:07
Boston Bolts U17 MLS Next,Volley,Blocked,2,46,5,61,-,-,10/26/2024,Boston Bolts U17 MLS Next,53:36
Boston Bolts U17 MLS Next,Volley,Blocked,2,46,20,58,-,-,10/26/2024,Boston Bolts U17 MLS Next,54:38
Boston Bolts U17 MLS Next,First Time,Shot,2,46,6,40,-,-,10/26/2024,Boston Bolts U17 MLS Next,57:05
Boston Bolts U17 MLS Next,First Time,Blocked,2,46,6,43,-,-,10/26/2024,Boston Bolts U17 MLS Next,57:09
Boston Bolts U17 MLS Next,First Time,Shot,2,46,23,63,-,-,10/26/2024,Boston Bolts U17 MLS Next,57:15
Boston Bolts U17 MLS Next,Normal,Shot,2,46,18,30,-,-,10/26/2024,Boston Bolts U17 MLS Next,59:53
Boston Bolts U17 MLS Next,Normal,Blocked,2,46,6,65,-,-,10/26/2024,Boston Bolts U17 MLS Next,62:20
Boston Bolts U17 MLS Next,Normal,SOT,2,46,10,74,-,-,10/26/2024,Boston Bolts U17 MLS Next,62:25
Seacoast,Normal,Blocked,2,46,84,74,-,-,10/26/2024,Boston Bolts U17 MLS Next,63:22
Seacoast,Normal,Shot,2,46,79,70,-,-,10/26/2024,Boston Bolts U17 MLS Next,63:25
Seacoast,Normal,Shot,2,46,71,51,-,-,10/26/2024,Boston Bolts U17 MLS Next,68:07
Seacoast,Normal,Blocked,2,46,94,41,-,-,10/26/2024,Boston Bolts U17 MLS Next,75:50
Seacoast,Header,Shot,2,46,94,42,-,-,10/26/2024,Boston Bolts U17 MLS Next,76:25
Boston Bolts U17 MLS Next,Normal,Goal,2,46,26,49,-,-,10/26/2024,Boston Bolts U17 MLS Next,81:52
Seacoast,First Time,SOT,2,46,80,42,-,-,10/26/2024,Boston Bolts U17 MLS Next,84:16
Seacoast,Penalty,Goal,2,46,89,50,-,-,10/26/2024,Boston Bolts U17 MLS Next,85:22
Seacoast,Normal,Blocked,2,46,82,28,-,-,10/26/2024,Boston Bolts U17 MLS Next,86:41
Boston Bolts U17 MLS Next,Normal,Blocked,2,46,14,62,-,-,10/26/2024,Boston Bolts U17 MLS Next,91:22
