Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Oakwood,Normal,Blocked,48,52,17,61,-,-,11/23/2024,Boston Bolts U19 MLS Next,00:12
Boston Bolts U19 MLS Next,Normal,Shot,49,0,94,70,-,-,11/23/2024,Boston Bolts U19 MLS Next,06:31
Boston Bolts U19 MLS Next,Header,Shot,49,6,95,40,-,-,11/23/2024,Boston Bolts U19 MLS Next,07:19
Boston Bolts U19 MLS Next,Volley,Shot,49,14,98,50,-,-,11/23/2024,Boston Bolts U19 MLS Next,10:01
Boston Bolts U19 MLS Next,Header,Shot,49,21,95,44,-,-,11/23/2024,Boston Bolts U19 MLS Next,10:05
Boston Bolts U19 MLS Next,Normal,Shot,49,27,94,67,-,-,11/23/2024,Boston Bolts U19 MLS Next,18:24
Oakwood,Normal,SOT,49,38,11,33,-,-,11/23/2024,Boston Bolts U19 MLS Next,19:08
Boston Bolts U19 MLS Next,First Time,Shot,49,46,95,45,-,-,11/23/2024,Boston Bolts U19 MLS Next,19:37
Boston Bolts U19 MLS Next,Normal,SOT,49,54,96,60,-,-,11/23/2024,Boston Bolts U19 MLS Next,20:07
Boston Bolts U19 MLS Next,First Time,Goal,50,2,96,55,-,-,11/23/2024,Boston Bolts U19 MLS Next,20:53
Boston Bolts U19 MLS Next,Normal,Shot,50,9,94,32,-,-,11/23/2024,Boston Bolts U19 MLS Next,27:35
Boston Bolts U19 MLS Next,Normal,Shot,50,17,95,68,-,-,11/23/2024,Boston Bolts U19 MLS Next,34:56
Boston Bolts U19 MLS Next,Normal,Shot,50,24,78,53,-,-,11/23/2024,Boston Bolts U19 MLS Next,35:24
Boston Bolts U19 MLS Next,Normal,Goal,50,30,94,34,-,-,11/23/2024,Boston Bolts U19 MLS Next,36:28
Boston Bolts U19 MLS Next,FK,Shot,50,38,76,32,-,-,11/23/2024,Boston Bolts U19 MLS Next,38:32
Boston Bolts U19 MLS Next,Normal,Shot,50,44,85,56,-,-,11/23/2024,Boston Bolts U19 MLS Next,38:58
Boston Bolts U19 MLS Next,Normal,Shot,50,50,96,66,-,-,11/23/2024,Boston Bolts U19 MLS Next,44:15
Boston Bolts U19 MLS Next,Volley,Shot,50,58,80,43,-,-,11/23/2024,Boston Bolts U19 MLS Next,45:48
Boston Bolts U19 MLS Next,First Time,SOT,51,6,6,63,-,-,11/23/2024,Boston Bolts U19 MLS Next,45:28
Boston Bolts U19 MLS Next,First Time,SOT,51,16,9,49,-,-,11/23/2024,Boston Bolts U19 MLS Next,51:17
Oakwood,Volley,SOT,51,28,95,56,-,-,11/23/2024,Boston Bolts U19 MLS Next,51:43
Boston Bolts U19 MLS Next,First Time,Goal,51,38,9,60,-,-,11/23/2024,Boston Bolts U19 MLS Next,55:06
Boston Bolts U19 MLS Next,Normal,Goal,51,44,12,61,-,-,11/23/2024,Boston Bolts U19 MLS Next,57:10
Oakwood,Normal,Shot,51,52,73,63,-,-,11/23/2024,Boston Bolts U19 MLS Next,58:33
Oakwood,Normal,SOT,51,57,86,27,-,-,11/23/2024,Boston Bolts U19 MLS Next,59:36
Boston Bolts U19 MLS Next,Normal,SOT,52,3,4,68,-,-,11/23/2024,Boston Bolts U19 MLS Next,60:39
Oakwood,Normal,Shot,54,3,88,39,-,-,11/23/2024,Boston Bolts U19 MLS Next,63:00
Oakwood,Normal,Goal Far Post,54,12,93,33,-,-,11/23/2024,Boston Bolts U19 MLS Next,64:45
Oakwood,Volley,Shot,54,21,84,53,-,-,11/23/2024,Boston Bolts U19 MLS Next,66:21
Oakwood,Header,SOT Inside Post,54,29,90,50,-,-,11/23/2024,Boston Bolts U19 MLS Next,69:47
Boston Bolts U19 MLS Next,Normal,SOT,54,36,18,33,-,-,11/23/2024,Boston Bolts U19 MLS Next,70:33
Oakwood,Volley,Shot,54,44,81,67,-,-,11/23/2024,Boston Bolts U19 MLS Next,71:00
Oakwood,FK,SOT Far Post,55,2,80,67,-,-,11/23/2024,Boston Bolts U19 MLS Next,72:51
Oakwood,1 on 1,Goal,55,42,90,56,-,-,11/23/2024,Boston Bolts U19 MLS Next,74:21
Boston Bolts U19 MLS Next,First Time,Shot,55,48,19,49,-,-,11/23/2024,Boston Bolts U19 MLS Next,76:18
Oakwood,First Time,Blocked,56,0,88,48,-,-,11/23/2024,Boston Bolts U19 MLS Next,77:30
Boston Bolts U19 MLS Next,Normal,SOT,56,6,8,51,-,-,11/23/2024,Boston Bolts U19 MLS Next,77:51
Boston Bolts U19 MLS Next,First Time,Shot,56,19,5,43,-,-,11/23/2024,Boston Bolts U19 MLS Next,78:39
Boston Bolts U19 MLS Next,Normal,Blocked,56,35,11,53,-,-,11/23/2024,Boston Bolts U19 MLS Next,78:40
Boston Bolts U19 MLS Next,Volley,SOT,56,49,10,54,-,-,11/23/2024,Boston Bolts U19 MLS Next,78:46
Boston Bolts U19 MLS Next,Volley,Shot,56,56,15,50,-,-,11/23/2024,Boston Bolts U19 MLS Next,80:29
Boston Bolts U19 MLS Next,Normal,Goal,57,3,8,61,-,-,11/23/2024,Boston Bolts U19 MLS Next,81:35
Boston Bolts U19 MLS Next,Volley,Shot,57,12,4,63,-,-,11/23/2024,Boston Bolts U19 MLS Next,87:57
