Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
IFA,Normal,Shot,0,48,86,70,-,-,9/22/2024,Boston Bolts U13 MLS Next,04:12
IFA,Header,SOT,0,48,90,44,-,-,9/22/2024,Boston Bolts U13 MLS Next,06:31
IFA,Normal,Blocked,0,48,80,32,-,-,9/22/2024,Boston Bolts U13 MLS Next,09:19
IFA,FK,Goal,0,48,78,48,-,-,9/22/2024,Boston Bolts U13 MLS Next,10:45
Boston Bolts U13 MLS Next,Volley,Blocked,0,48,20,62,-,-,9/22/2024,Boston Bolts U13 MLS Next,20:00
Boston Bolts U13 MLS Next,Normal,SOT,0,48,12,70,-,-,9/22/2024,Boston Bolts U13 MLS Next,25:38
Boston Bolts U13 MLS Next,FK,Shot,0,48,25,64,-,-,9/22/2024,Boston Bolts U13 MLS Next,32:17
Boston Bolts U13 MLS Next,Normal,Blocked,0,48,12,41,-,-,9/22/2024,Boston Bolts U13 MLS Next,33:53
Boston Bolts U13 MLS Next,Normal,SOT,0,48,15,37,-,-,9/22/2024,Boston Bolts U13 MLS Next,33:58
Boston Bolts U13 MLS Next,Normal,Goal,0,48,18,57,-,-,9/22/2024,Boston Bolts U13 MLS Next,36:41
IFA,Normal,SOT,0,48,23,21,-,-,9/22/2024,Boston Bolts U13 MLS Next,36:17
Boston Bolts U13 MLS Next,Volley,SOT,0,48,76,48,-,-,9/22/2024,Boston Bolts U13 MLS Next,39:52
IFA,Normal,Shot,0,48,23,77,-,-,9/22/2024,Boston Bolts U13 MLS Next,42:34
IFA,First Time,Shot,0,48,12,62,-,-,9/22/2024,Boston Bolts U13 MLS Next,43:08
IFA,Header,SOT,0,48,12,49,-,-,9/22/2024,Boston Bolts U13 MLS Next,45:49
IFA,FK,Shot,0,48,21,21,-,-,9/22/2024,Boston Bolts U13 MLS Next,47:40
IFA,First Time,SOT,0,48,4,68,-,-,9/22/2024,Boston Bolts U13 MLS Next,53:29
Boston Bolts U13 MLS Next,Header,Goal,0,48,96,60,-,-,9/22/2024,Boston Bolts U13 MLS Next,57:51
IFA,FK,SOT,0,48,31,48,-,-,9/22/2024,Boston Bolts U13 MLS Next,64:43
IFA,First Time,SOT,0,48,8,41,-,-,9/22/2024,Boston Bolts U13 MLS Next,65:22
IFA,Volley,Shot,0,48,4,35,-,-,9/22/2024,Boston Bolts U13 MLS Next,65:22
IFA,First Time,Blocked,0,48,16,47,-,-,9/22/2024,Boston Bolts U13 MLS Next,68:46
IFA,FK,SOT,0,48,19,37,-,-,9/22/2024,Boston Bolts U13 MLS Next,71:39
