Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Toronto,Normal,Blocked,58,5,89,37,-,-,11/24/2024,Boston Bolts U15 MLS Next,10:28
Toronto,Normal,Shot,58,5,96,39,-,-,11/24/2024,Boston Bolts U15 MLS Next,14:30
Toronto,Volley,Goal Inside Post,58,5,92,41,-,-,11/24/2024,Boston Bolts U15 MLS Next,15:57
Toronto,Normal,Blocked,58,5,84,46,-,-,11/24/2024,Boston Bolts U15 MLS Next,22:05
Toronto,First Time,Blocked,58,5,91,42,-,-,11/24/2024,Boston Bolts U15 MLS Next,22:17
Toronto,Normal,SOT,58,5,79,69,-,-,11/24/2024,Boston Bolts U15 MLS Next,23:20
Toronto,Volley,Shot,58,5,80,48,-,-,11/24/2024,Boston Bolts U15 MLS Next,31:41
Toronto,Header,Shot,58,5,95,48,-,-,11/24/2024,Boston Bolts U15 MLS Next,36:24
Toronto,Normal,Shot,58,5,88,30,-,-,11/24/2024,Boston Bolts U15 MLS Next,38:35
Toronto,Normal,Shot,58,5,71,47,-,-,11/24/2024,Boston Bolts U15 MLS Next,39:39
Boston Bolts U15 MLS Next,Normal,Goal,58,5,72,68,-,-,11/24/2024,Boston Bolts U15 MLS Next,41:39
Toronto,Volley,SOT,58,5,19,58,-,-,11/24/2024,Boston Bolts U15 MLS Next,47:00
Toronto,First Time,SOT,58,5,22,56,-,-,11/24/2024,Boston Bolts U15 MLS Next,50:02
Toronto,Volley,Shot,58,5,4,40,-,-,11/24/2024,Boston Bolts U15 MLS Next,55:56
Toronto,Normal,Blocked,58,5,17,40,-,-,11/24/2024,Boston Bolts U15 MLS Next,56:50
Toronto,First Time,Goal Inside Post,58,5,18,40,-,-,11/24/2024,Boston Bolts U15 MLS Next,58:39
Toronto,Normal,SOT Far Post,58,5,21,65,-,-,11/24/2024,Boston Bolts U15 MLS Next,61:43
Toronto,First Time,Goal,58,5,11,37,-,-,11/24/2024,Boston Bolts U15 MLS Next,63:48
Toronto,Normal,Shot,58,5,10,35,-,-,11/24/2024,Boston Bolts U15 MLS Next,64:56
Toronto,Normal,Shot,58,5,10,37,-,-,11/24/2024,Boston Bolts U15 MLS Next,67:34
Toronto,First Time,Goal,58,5,5,45,-,-,11/24/2024,Boston Bolts U15 MLS Next,72:57
Toronto,Volley,Goal Inside Post,58,5,5,54,-,-,11/24/2024,Boston Bolts U15 MLS Next,78:14
Boston Bolts U15 MLS Next,Volley,Shot,58,5,97,52,-,-,11/24/2024,Boston Bolts U15 MLS Next,80:06
Boston Bolts U15 MLS Next,Volley,Shot,58,5,99,59,-,-,11/24/2024,Boston Bolts U15 MLS Next,80:09
