Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U16 MLS Next,1 on 1,Goal,58,41,87,44,-,-,11/23/2024,Boston Bolts U16 MLS Next,03:21
Oakwood,Normal,Blocked,58,49,22,61,-,-,11/23/2024,Boston Bolts U16 MLS Next,09:54
Oakwood,First Time,SOT,58,56,6,39,-,-,11/23/2024,Boston Bolts U16 MLS Next,10:52
Boston Bolts U16 MLS Next,Volley,Shot,59,6,76,31,-,-,11/23/2024,Boston Bolts U16 MLS Next,11:28
Oakwood,Header,SOT,59,14,8,46,-,-,11/23/2024,Boston Bolts U16 MLS Next,13:38
Oakwood,Normal,Blocked,59,21,8,46,-,-,11/23/2024,Boston Bolts U16 MLS Next,15:56
Oakwood,FK,SOT,59,30,17,19,-,-,11/23/2024,Boston Bolts U16 MLS Next,21:21
Oakwood,Volley,Shot,59,39,13,34,-,-,11/23/2024,Boston Bolts U16 MLS Next,21:30
Oakwood,First Time,Shot,59,47,19,39,-,-,11/23/2024,Boston Bolts U16 MLS Next,24:26
Oakwood,Volley,Blocked,59,56,12,38,-,-,11/23/2024,Boston Bolts U16 MLS Next,25:35
Boston Bolts U16 MLS Next,Normal,Shot,61,2,86,70,-,-,11/23/2024,Boston Bolts U16 MLS Next,26:28
Boston Bolts U16 MLS Next,Normal,Goal,61,32,93,40,-,-,11/23/2024,Boston Bolts U16 MLS Next,28:02
Oakwood,First Time,Shot,61,39,13,65,-,-,11/23/2024,Boston Bolts U16 MLS Next,32:26
Boston Bolts U16 MLS Next,Header,Shot,61,45,92,47,-,-,11/23/2024,Boston Bolts U16 MLS Next,35:47
Oakwood,Volley,Shot,61,52,15,55,-,-,11/23/2024,Boston Bolts U16 MLS Next,41:05
Boston Bolts U16 MLS Next,First Time,Shot,61,58,87,55,-,-,11/23/2024,Boston Bolts U16 MLS Next,42:23
Oakwood,First Time,Shot,62,4,18,44,-,-,11/23/2024,Boston Bolts U16 MLS Next,45:08
Boston Bolts U16 MLS Next,Normal,Blocked,62,11,7,58,-,-,11/23/2024,Boston Bolts U16 MLS Next,46:33
Boston Bolts U16 MLS Next,First Time,Goal,62,19,2,45,-,-,11/23/2024,Boston Bolts U16 MLS Next,46:59
Boston Bolts U16 MLS Next,Normal,Blocked,62,25,6,65,-,-,11/23/2024,Boston Bolts U16 MLS Next,50:28
Boston Bolts U16 MLS Next,Header,SOT,62,30,10,37,-,-,11/23/2024,Boston Bolts U16 MLS Next,51:15
Boston Bolts U16 MLS Next,Normal,Shot,62,37,2,32,-,-,11/23/2024,Boston Bolts U16 MLS Next,56:57
Oakwood,Normal,Blocked,62,44,87,26,-,-,11/23/2024,Boston Bolts U16 MLS Next,59:34
Boston Bolts U16 MLS Next,1 on 1,Goal,62,55,13,56,-,-,11/23/2024,Boston Bolts U16 MLS Next,63:37
Boston Bolts U16 MLS Next,First Time,SOT,63,4,12,35,-,-,11/23/2024,Boston Bolts U16 MLS Next,66:24
Oakwood,First Time,Shot,63,12,91,44,-,-,11/23/2024,Boston Bolts U16 MLS Next,68:02
Boston Bolts U16 MLS Next,Normal,Blocked,63,18,16,38,-,-,11/23/2024,Boston Bolts U16 MLS Next,68:55
Boston Bolts U16 MLS Next,Volley,Blocked,63,24,16,51,-,-,11/23/2024,Boston Bolts U16 MLS Next,69:02
Oakwood,Normal,Goal Inside Post,63,32,82,52,-,-,11/23/2024,Boston Bolts U16 MLS Next,71:27
Oakwood,Volley,Blocked,63,41,80,50,-,-,11/23/2024,Boston Bolts U16 MLS Next,76:34
Oakwood,First Time,SOT Inside Post,63,52,80,53,-,-,11/23/2024,Boston Bolts U16 MLS Next,82:24
