Team,Player,Event,Mins,Secs,X,Y,X2,Y2,Match Date,Bolts Team,Time
Boston Bolts U17 MLS Next,Normal,Blocked,51,38,79,38,-,-,11/24/2024,Boston Bolts U17 MLS Next,00:20
Boston Bolts U17 MLS Next,First Time,Shot,51,48,85,34,-,-,11/24/2024,Boston Bolts U17 MLS Next,06:41
Boston Bolts U17 MLS Next,1 on 1,SOT,51,55,88,44,-,-,11/24/2024,Boston Bolts U17 MLS Next,11:52
Valeo,First Time,Shot,52,1,18,47,-,-,11/24/2024,Boston Bolts U17 MLS Next,13:30
Boston Bolts U17 MLS Next,Normal,Goal,52,8,81,31,-,-,11/24/2024,Boston Bolts U17 MLS Next,14:28
Valeo,Normal,Shot,52,14,26,65,-,-,11/24/2024,Boston Bolts U17 MLS Next,24:21
Boston Bolts U17 MLS Next,1 on 1,Goal,52,20,91,59,-,-,11/24/2024,Boston Bolts U17 MLS Next,30:13
Valeo,FK,SOT,52,28,25,30,-,-,11/24/2024,Boston Bolts U17 MLS Next,39:33
Valeo,First Time,Blocked,52,35,25,36,-,-,11/24/2024,Boston Bolts U17 MLS Next,43:01
Valeo,Header,SOT,52,42,17,54,-,-,11/24/2024,Boston Bolts U17 MLS Next,43:13
Valeo,Normal,SOT,52,51,80,53,-,-,11/24/2024,Boston Bolts U17 MLS Next,49:12
Valeo,Header,Shot,52,58,95,58,-,-,11/24/2024,Boston Bolts U17 MLS Next,52:42
Boston Bolts U17 MLS Next,First Time,SOT,53,6,11,63,-,-,11/24/2024,Boston Bolts U17 MLS Next,55:21
Boston Bolts U17 MLS Next,First Time,Blocked,53,13,12,41,-,-,11/24/2024,Boston Bolts U17 MLS Next,58:12
Boston Bolts U17 MLS Next,Volley,Shot,53,18,16,38,-,-,11/24/2024,Boston Bolts U17 MLS Next,61:43
Boston Bolts U17 MLS Next,FK,Shot,53,28,24,50,-,-,11/24/2024,Boston Bolts U17 MLS Next,68:14
Boston Bolts U17 MLS Next,Normal,Shot,53,33,7,34,-,-,11/24/2024,Boston Bolts U17 MLS Next,68:45
Boston Bolts U17 MLS Next,Normal,SOT,53,38,3,68,-,-,11/24/2024,Boston Bolts U17 MLS Next,68:52
Boston Bolts U17 MLS Next,Normal,Shot,53,44,13,24,-,-,11/24/2024,Boston Bolts U17 MLS Next,75:02
Boston Bolts U17 MLS Next,1 on 1,Goal,53,51,12,52,-,-,11/24/2024,Boston Bolts U17 MLS Next,75:21
Valeo,Normal,Shot,53,58,84,77,-,-,11/24/2024,Boston Bolts U17 MLS Next,77:42
Boston Bolts U17 MLS Next,Normal,SOT,54,3,15,43,-,-,11/24/2024,Boston Bolts U17 MLS Next,81:21
Boston Bolts U17 MLS Next,Volley,Shot,54,11,5,43,-,-,11/24/2024,Boston Bolts U17 MLS Next,82:01
Boston Bolts U17 MLS Next,First Time,Goal,54,18,4,53,-,-,11/24/2024,Boston Bolts U17 MLS Next,85:25
Valeo,Volley,Shot,54,25,95,38,-,-,11/24/2024,Boston Bolts U17 MLS Next,87:12
Valeo,First Time,Shot,54,32,83,72,-,-,11/24/2024,Boston Bolts U17 MLS Next,90:14
Valeo,Normal,Blocked,54,39,80,40,-,-,11/24/2024,Boston Bolts U17 MLS Next,91:08
